text,label,category
Congratulations! You've won a free gift. Claim your prize now!,0,spam
Act now! Limited time offer. Don't miss this opportunity!,2,promotion
Your account has been suspended. Verify your identity immediately.,5,phishing
Make money from home. Earn $5000 per month working just 2 hours daily!,2,promotion
You've been selected for a special offer. Click here to claim!,2,promotion
URGENT: Your package is waiting. Confirm your delivery address.,5,phishing
Free iPhone X. Complete this survey to claim your free device!,0,spam
Your PayPal account needs verification. Update your information now.,5,phishing
Congratulations dear friend. You've won the lottery!,0,spam
Hot stocks that will double your money. Buy now!,0,spam
Lose weight fast. Amazing results in just 1 week!,0,spam
Your computer is infected. Call now for immediate support!,0,spam
You've been pre-approved for a credit card. Apply now!,0,spam
Discount luxury watches. 90% off retail price!,2,promotion
Meet singles in your area. Join now for free!,0,spam
Your IRS refund is waiting. File your claim today!,0,spam
Cheap medications online. No prescription needed!,0,spam
Work at home opportunity. Be your own boss today!,0,spam
Your Amazon order is confirmed. Track your package now!,0,spam
"Congratulations! Your email has won $1,000,000!",0,spam
"Hello John, I wanted to confirm our meeting scheduled for tomorrow afternoon. Please let me know if this works.",1,not spam
"Hi Team, I would like to schedule a call to discuss the project timeline.",1,not spam
Timeline updated. Please review and confirm availability.,1,not spam
"Hello Sarah, I'm writing to follow up on our phone conversation last week.",1,not spam
The IT department will perform scheduled maintenance this weekend.,1,not spam
Thank you for contacting support. Your ticket #1053 has been received.,1,not spam
"Dear Emily, Please find below the meeting notes from team meeting.",1,not spam
"Dear David, Your order #81482 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear John, Thank you for your interest in our services. I've attached the requested information.",1,not spam
"Dear James, Your order #68878 has been shipped and should arrive within 3-5 business days.",1,not spam
"Dear James, Your order #54597 has been shipped and should arrive within 3-5 business days.",1,not spam
"Hi team, Please review the quarterly report and provide feedback by end of week.",1,not spam
The building will be closed for maintenance on Saturday.,1,not spam
The conference registration is now open. Early bird discount available.,2,promotion
"Hello Client, I wanted to confirm our meeting scheduled for Tuesday at 10 AM. Please let me know if this works.",1,not spam
The client meeting went well. Next steps outlined in the document.,1,not spam
Your training session has been confirmed for January 15.,1,not spam
